,model,MSE,MAE,RMSE
12,Catboost,11075.272689940271,59.81678843393003,105.23912148027591
11,Light GBM,12110.64883524602,61.348503370018676,110.04839315158591
3,Random Forest,13062.952659831979,69.37958805951344,114.29327477954239
9,XGBoost,14538.145517,75.407824,120.574232
