,date,weekday,day_x,hour,time,month,rides,holiday,datetime,year,is_holiday,is_weekend
51,2019-01-04,Friday,4,2,02:00:00,1,64,no festivo,2019-01-04 02:00:00,2019,0,0
52,2019-01-04,Friday,4,3,03:00:00,1,29,no festivo,2019-01-04 03:00:00,2019,0,0
53,2019-01-04,Friday,4,4,04:00:00,1,47,no festivo,2019-01-04 04:00:00,2019,0,0
54,2019-01-04,Friday,4,5,05:00:00,1,67,no festivo,2019-01-04 05:00:00,2019,0,0
55,2019-01-04,Friday,4,6,06:00:00,1,181,no festivo,2019-01-04 06:00:00,2019,0,0
56,2019-01-04,Friday,4,7,07:00:00,1,402,no festivo,2019-01-04 07:00:00,2019,0,0
57,2019-01-04,Friday,4,8,08:00:00,1,413,no festivo,2019-01-04 08:00:00,2019,0,0
58,2019-01-04,Friday,4,9,09:00:00,1,308,no festivo,2019-01-04 09:00:00,2019,0,0
59,2019-01-04,Friday,4,10,10:00:00,1,316,no festivo,2019-01-04 10:00:00,2019,0,0
60,2019-01-04,Friday,4,11,11:00:00,1,362,no festivo,2019-01-04 11:00:00,2019,0,0
61,2019-01-04,Friday,4,12,12:00:00,1,448,no festivo,2019-01-04 12:00:00,2019,0,0
62,2019-01-04,Friday,4,13,13:00:00,1,675,no festivo,2019-01-04 13:00:00,2019,0,0
63,2019-01-04,Friday,4,14,14:00:00,1,661,no festivo,2019-01-04 14:00:00,2019,0,0
64,2019-01-04,Friday,4,15,15:00:00,1,516,no festivo,2019-01-04 15:00:00,2019,0,0
65,2019-01-04,Friday,4,16,16:00:00,1,543,no festivo,2019-01-04 16:00:00,2019,0,0
66,2019-01-04,Friday,4,17,17:00:00,1,540,no festivo,2019-01-04 17:00:00,2019,0,0
67,2019-01-04,Friday,4,18,18:00:00,1,521,no festivo,2019-01-04 18:00:00,2019,0,0
68,2019-01-04,Friday,4,19,19:00:00,1,446,no festivo,2019-01-04 19:00:00,2019,0,0
69,2019-01-04,Friday,4,20,20:00:00,1,387,no festivo,2019-01-04 20:00:00,2019,0,0
70,2019-01-04,Friday,4,21,21:00:00,1,287,no festivo,2019-01-04 21:00:00,2019,0,0
71,2019-01-04,Friday,4,22,22:00:00,1,188,no festivo,2019-01-04 22:00:00,2019,0,0
72,2019-01-04,Friday,4,23,23:00:00,1,260,no festivo,2019-01-04 23:00:00,2019,0,0
73,2019-01-05,Saturday,5,0,00:00:00,1,215,no festivo,2019-01-05 00:00:00,2019,0,1
74,2019-01-05,Saturday,5,1,01:00:00,1,205,no festivo,2019-01-05 01:00:00,2019,0,1
75,2019-01-05,Saturday,5,2,02:00:00,1,144,no festivo,2019-01-05 02:00:00,2019,0,1
76,2019-01-05,Saturday,5,3,03:00:00,1,111,no festivo,2019-01-05 03:00:00,2019,0,1
77,2019-01-05,Saturday,5,4,04:00:00,1,75,no festivo,2019-01-05 04:00:00,2019,0,1
78,2019-01-05,Saturday,5,5,05:00:00,1,61,no festivo,2019-01-05 05:00:00,2019,0,1
79,2019-01-05,Saturday,5,6,06:00:00,1,43,no festivo,2019-01-05 06:00:00,2019,0,1
80,2019-01-05,Saturday,5,7,07:00:00,1,79,no festivo,2019-01-05 07:00:00,2019,0,1
81,2019-01-05,Saturday,5,8,08:00:00,1,119,no festivo,2019-01-05 08:00:00,2019,0,1
82,2019-01-05,Saturday,5,9,09:00:00,1,214,no festivo,2019-01-05 09:00:00,2019,0,1
83,2019-01-05,Saturday,5,10,10:00:00,1,292,no festivo,2019-01-05 10:00:00,2019,0,1
84,2019-01-05,Saturday,5,11,11:00:00,1,371,no festivo,2019-01-05 11:00:00,2019,0,1
85,2019-01-05,Saturday,5,12,12:00:00,1,457,no festivo,2019-01-05 12:00:00,2019,0,1
86,2019-01-05,Saturday,5,13,13:00:00,1,466,no festivo,2019-01-05 13:00:00,2019,0,1
87,2019-01-05,Saturday,5,14,14:00:00,1,390,no festivo,2019-01-05 14:00:00,2019,0,1
88,2019-01-05,Saturday,5,15,15:00:00,1,421,no festivo,2019-01-05 15:00:00,2019,0,1
89,2019-01-05,Saturday,5,16,16:00:00,1,436,no festivo,2019-01-05 16:00:00,2019,0,1
90,2019-01-05,Saturday,5,17,17:00:00,1,384,no festivo,2019-01-05 17:00:00,2019,0,1
91,2019-01-05,Saturday,5,18,18:00:00,1,393,no festivo,2019-01-05 18:00:00,2019,0,1
92,2019-01-05,Saturday,5,19,19:00:00,1,358,no festivo,2019-01-05 19:00:00,2019,0,1
93,2019-01-05,Saturday,5,20,20:00:00,1,353,no festivo,2019-01-05 20:00:00,2019,0,1
94,2019-01-05,Saturday,5,21,21:00:00,1,255,no festivo,2019-01-05 21:00:00,2019,0,1
95,2019-01-05,Saturday,5,22,22:00:00,1,208,no festivo,2019-01-05 22:00:00,2019,0,1
96,2019-01-05,Saturday,5,23,23:00:00,1,218,no festivo,2019-01-05 23:00:00,2019,0,1
97,2019-01-06,Sunday,6,0,00:00:00,1,238,no festivo,2019-01-06 00:00:00,2019,0,1
98,2019-01-06,Sunday,6,1,01:00:00,1,164,no festivo,2019-01-06 01:00:00,2019,0,1
99,2019-01-06,Sunday,6,2,02:00:00,1,107,no festivo,2019-01-06 02:00:00,2019,0,1
100,2019-01-06,Sunday,6,3,03:00:00,1,72,no festivo,2019-01-06 03:00:00,2019,0,1
101,2019-01-06,Sunday,6,4,04:00:00,1,63,no festivo,2019-01-06 04:00:00,2019,0,1
102,2019-01-06,Sunday,6,5,05:00:00,1,75,no festivo,2019-01-06 05:00:00,2019,0,1
103,2019-01-06,Sunday,6,6,06:00:00,1,22,no festivo,2019-01-06 06:00:00,2019,0,1
104,2019-01-06,Sunday,6,7,07:00:00,1,35,no festivo,2019-01-06 07:00:00,2019,0,1
105,2019-01-06,Sunday,6,8,08:00:00,1,59,no festivo,2019-01-06 08:00:00,2019,0,1
106,2019-01-06,Sunday,6,9,09:00:00,1,95,no festivo,2019-01-06 09:00:00,2019,0,1
107,2019-01-06,Sunday,6,10,10:00:00,1,184,no festivo,2019-01-06 10:00:00,2019,0,1
108,2019-01-06,Sunday,6,11,11:00:00,1,254,no festivo,2019-01-06 11:00:00,2019,0,1
109,2019-01-06,Sunday,6,12,12:00:00,1,321,no festivo,2019-01-06 12:00:00,2019,0,1
110,2019-01-06,Sunday,6,13,13:00:00,1,347,no festivo,2019-01-06 13:00:00,2019,0,1
111,2019-01-06,Sunday,6,14,14:00:00,1,257,no festivo,2019-01-06 14:00:00,2019,0,1
112,2019-01-06,Sunday,6,15,15:00:00,1,356,no festivo,2019-01-06 15:00:00,2019,0,1
113,2019-01-06,Sunday,6,16,16:00:00,1,351,no festivo,2019-01-06 16:00:00,2019,0,1
114,2019-01-06,Sunday,6,17,17:00:00,1,314,no festivo,2019-01-06 17:00:00,2019,0,1
115,2019-01-06,Sunday,6,18,18:00:00,1,264,no festivo,2019-01-06 18:00:00,2019,0,1
116,2019-01-06,Sunday,6,19,19:00:00,1,315,no festivo,2019-01-06 19:00:00,2019,0,1
117,2019-01-06,Sunday,6,20,20:00:00,1,272,no festivo,2019-01-06 20:00:00,2019,0,1
